Common_Name,x,y,cluster,grid_x,grid_y
Abert's Towhee,6.33532190322876,4.789124488830566,22.0,9.0,8.0
Acadian Flycatcher,4.4634480476379395,7.586965560913086,15.0,6.0,15.0
Acorn Woodpecker,3.998614549636841,3.463012218475342,18.0,2.0,32.0
Adelaide's Warbler,5.140273094177246,8.007732391357422,15.0,8.0,28.0
Adelie Penguin,11.281070709228516,3.062525510787964,10.0,14.0,30.0
African Penguin,15.402254104614258,3.1610889434814453,8.0,16.0,27.0
African Pygmy-Goose,4.488770008087158,1.9785996675491333,16.0,4.0,0.0
Alder/Willow Flycatcher (Traill's Flycatcher),3.802175998687744,1.6171436309814453,16.0,2.0,15.0
Aleutian Tern,17.674575805664062,5.570384502410889,5.0,17.0,30.0
American Black Duck,7.549027919769287,2.4218242168426514,14.0,10.0,12.0
American Coot,3.7476837635040283,0.49706465005874634,17.0,2.0,0.0
American Crow,5.583303928375244,4.683579444885254,-1.0,7.0,22.0
American Goldfinch,5.949979782104492,4.330272674560547,22.0,7.0,23.0
American Kestrel,9.062185287475586,12.688820838928223,1.0,13.0,15.0
American Pipit,3.6187665462493896,5.129796028137207,25.0,3.0,22.0
American Redstart,6.689066410064697,3.1707186698913574,14.0,9.0,3.0
American Robin,3.9729843139648438,5.854121685028076,25.0,3.0,23.0
American Three-toed Woodpecker,7.536092281341553,5.979747295379639,21.0,10.0,27.0
American Tree Sparrow,3.5363433361053467,2.6856672763824463,-1.0,2.0,26.0
American White Pelican,11.477863311767578,3.4894394874572754,10.0,14.0,31.0
American Wigeon,3.579108238220215,0.6093085408210754,17.0,2.0,1.0
American Woodcock,5.022084712982178,4.599206447601318,23.0,7.0,24.0
Ancient Murrelet,11.661230087280273,3.356754779815674,10.0,15.0,22.0
Anhinga,11.679991722106934,3.3892319202423096,10.0,15.0,23.0
Anna's Hummingbird,18.494314193725586,9.945857048034668,0.0,18.0,30.0
Antarctic Petrel,11.67800235748291,3.3318166732788086,10.0,15.0,24.0
Antarctic Prion,10.86374282836914,1.7647192478179932,13.0,13.0,0.0
Antarctic Shag,13.12087631225586,2.2106118202209473,7.0,15.0,2.0
Antarctic Tern,10.812356948852539,1.9456181526184082,13.0,13.0,1.0
Antillean Crested Hummingbird,3.038510799407959,7.314284801483154,19.0,4.0,27.0
Antillean Euphonia,-25.82050323486328,-10.129199028015137,4.0,0.0,3.0
Antillean Mango,7.062514781951904,7.567312240600586,20.0,11.0,20.0
Aplomado Falcon,9.998042106628418,12.114239692687988,1.0,13.0,16.0
Arctic Loon,16.0709171295166,1.991888403892517,8.0,17.0,18.0
Arctic Tern,17.14690589904785,5.479367733001709,5.0,17.0,31.0
Arrowhead Warbler,8.23303508758545,6.9786834716796875,21.0,12.0,4.0
Ash-throated Flycatcher,4.662301540374756,7.304749488830566,15.0,6.0,16.0
Atlantic Petrel,13.579083442687988,2.1667723655700684,7.0,15.0,3.0
Atlantic Puffin,15.108772277832031,2.998664379119873,8.0,16.0,11.0
Auckland Islands Teal,10.80130672454834,1.9571062326431274,13.0,13.0,2.0
Audubon's Shearwater,17.401851654052734,-0.5184199810028076,2.0,17.0,0.0
Australian Shelduck,3.4413511753082275,0.3376307189464569,17.0,2.0,2.0
Australian Shoveler,7.155885696411133,5.017126560211182,-1.0,11.0,0.0
Bachman's Sparrow,4.399960041046143,1.9249457120895386,16.0,4.0,1.0
Baird's Sparrow,4.787593364715576,7.815547466278076,15.0,6.0,17.0
Bald Eagle,7.468991279602051,2.525442361831665,14.0,10.0,13.0
Baltimore Oriole,5.296159744262695,5.172901153564453,23.0,8.0,5.0
Bananaquit,3.060325860977173,7.251888275146484,19.0,4.0,28.0
Band-rumped Storm-Petrel,17.464262008666992,-0.5841734409332275,2.0,17.0,1.0
Band-tailed Pigeon,-25.326507568359375,-9.922420501708984,3.0,1.0,13.0
Bank Swallow,6.366815567016602,4.980788707733154,22.0,9.0,9.0
Bar-headed Goose,-25.919898986816406,-10.08099365234375,4.0,0.0,4.0
Barn Owl,8.72840690612793,13.329776763916016,1.0,12.0,23.0
Barn Swallow,7.837859153747559,7.52761173248291,20.0,11.0,21.0
Barnacle Goose,-25.82862091064453,-10.15969181060791,4.0,0.0,5.0
Barred Owl,8.822969436645508,12.326998710632324,1.0,12.0,16.0
Barrow's Goldeneye,7.990911483764648,1.4453061819076538,11.0,10.0,0.0
Bay-breasted Warbler,4.025237083435059,3.1312785148620605,18.0,5.0,17.0
Bell's Sparrow,7.45526123046875,6.474541664123535,-1.0,11.0,9.0
Bell's Vireo,4.254523754119873,7.029207229614258,-1.0,6.0,18.0
Bewick's Wren,4.5580902099609375,7.4696364402771,15.0,6.0,19.0
Bicolored Antbird,3.0288076400756836,7.31015157699585,19.0,4.0,29.0
Black Francolin,6.4012603759765625,3.0942435264587402,14.0,9.0,4.0
Black Noddy,15.824110984802246,2.2104074954986572,8.0,16.0,12.0
Black Phoebe,7.562868118286133,7.199465274810791,20.0,11.0,22.0
Black Rosy-Finch,-25.115034103393555,-10.072922706604004,3.0,0.0,6.0
Black Swan,-19.371850967407227,-9.902871131896973,-1.0,1.0,16.0
Black Swift,18.654052734375,9.97262954711914,0.0,18.0,31.0
Black Tern,18.989315032958984,9.577300071716309,0.0,18.0,32.0
Black Vulture,9.660360336303711,12.453310012817383,1.0,13.0,17.0
Black-and-white Warbler,4.150800704956055,6.637143135070801,-1.0,6.0,7.0
Black-backed Woodpecker,7.6447062492370605,6.172708988189697,21.0,11.0,10.0
Black-bellied Storm-Petrel,10.714545249938965,2.381732940673828,13.0,14.0,4.0
Black-bellied Whistling-Duck,-24.844533920288086,-10.000947952270508,3.0,1.0,7.0
Black-billed Magpie,4.692180156707764,2.5069262981414795,-1.0,5.0,0.0
Black-browed Albatross,13.16478157043457,2.245278835296631,7.0,15.0,4.0
Black-capped Chickadee,4.099494934082031,2.903850555419922,18.0,5.0,1.0
Black-capped Petrel,17.4631290435791,-0.5829434394836426,2.0,17.0,2.0
Black-capped Vireo,5.575802326202393,5.308084964752197,23.0,8.0,6.0
Black-chested Buzzard-Eagle,8.628151893615723,13.511909484863281,1.0,12.0,24.0
Black-crowned Night-Heron,17.542238235473633,5.9196248054504395,-1.0,17.0,32.0
Black-faced Antthrush,7.187613487243652,7.870107650756836,20.0,11.0,23.0
Black-faced Grassquit,3.2528514862060547,3.178925037384033,18.0,2.0,33.0
Black-footed Albatross,15.41010570526123,3.002814531326294,8.0,16.0,28.0
Black-headed Grosbeak,6.369923114776611,5.940376281738281,-1.0,9.0,20.0
Black-legged Kittiwake,13.965457916259766,2.8957135677337646,7.0,15.0,5.0
Black-necked Swan,-25.84990882873535,-10.124173164367676,4.0,0.0,7.0
Black-throated Blue Warbler,4.095070838928223,5.246577262878418,25.0,5.0,31.0
Black-throated Green Warbler,4.102914333343506,5.578394889831543,25.0,5.0,32.0
Black-vented Shearwater,15.756112098693848,2.413268804550171,8.0,16.0,13.0
Black-whiskered Vireo,3.6896657943725586,6.53708028793335,24.0,3.0,33.0
Blackburnian Warbler,4.1970744132995605,3.085554838180542,18.0,5.0,18.0
Blackpoll Warbler,3.7551534175872803,6.470632553100586,24.0,3.0,34.0
Blue Duck,19.01479148864746,9.64977741241455,0.0,19.0,15.0
Blue Grosbeak,7.529901027679443,6.03438138961792,21.0,11.0,11.0
Blue Jay,6.463593482971191,2.960341453552246,14.0,8.0,0.0
Blue Petrel,10.73763656616211,2.3828353881835938,13.0,14.0,5.0
Blue-billed Duck,7.1285858154296875,5.346080303192139,22.0,11.0,1.0
Blue-black Grosbeak,3.468137741088867,2.54081654548645,-1.0,2.0,27.0
Blue-chested Hummingbird,3.384121894836426,6.718111515045166,-1.0,3.0,35.0
Blue-crowned Manakin,3.1055381298065186,2.870840072631836,18.0,2.0,28.0
Blue-footed Booby,18.40920639038086,6.042424201965332,6.0,18.0,16.0
Blue-gray Gnatcatcher,4.590908527374268,7.714394569396973,15.0,6.0,20.0
Blue-gray Noddy,18.686813354492188,9.761944770812988,0.0,18.0,33.0
Blue-headed Vireo,3.622230052947998,3.4394943714141846,18.0,2.0,34.0
Blue-throated Mountain-gem,3.804115056991577,6.425680160522461,24.0,3.0,36.0
Blue-winged Teal,3.463127613067627,0.3609386384487152,17.0,2.0,3.0
Blue-winged Warbler,7.581678867340088,6.0713677406311035,21.0,11.0,12.0
Boat-tailed Grackle,3.941345691680908,6.505496978759766,24.0,4.0,11.0
Bobolink,4.224555969238281,3.01556396484375,18.0,5.0,19.0
Bonaparte's Gull,15.576301574707031,1.8133481740951538,8.0,16.0,0.0
Bonin Petrel,15.754263877868652,1.6596720218658447,8.0,16.0,1.0
Boreal Chickadee,18.95648956298828,9.52013111114502,0.0,18.0,34.0
Boreal Owl,9.051268577575684,12.666624069213867,1.0,13.0,18.0
Brandt's Cormorant,11.824084281921387,3.432145357131958,10.0,15.0,25.0
Brant,3.703112840652466,0.7734053134918213,17.0,2.0,4.0
Brazilian Teal,3.9632725715637207,1.7032532691955566,16.0,2.0,16.0
Brewer's Blackbird,3.557425022125244,2.73181414604187,18.0,2.0,29.0
Brewer's Sparrow,6.057221412658691,5.792422294616699,23.0,9.0,21.0
Bridled Tern,17.91248321533203,5.9212327003479,6.0,17.0,33.0
Bright-rumped Attila,5.206586837768555,3.228313684463501,22.0,7.0,5.0
Broad-billed Hummingbird,7.157832145690918,7.717225551605225,20.0,11.0,24.0
Broad-billed Prion,10.875961303710938,1.7348228693008423,13.0,13.0,3.0
Broad-winged Hawk,8.947185516357422,12.456369400024414,1.0,12.0,17.0
Bronze Mannikin,3.7934579849243164,1.5636507272720337,16.0,2.0,17.0
Brown Booby,15.566530227661133,2.6638810634613037,8.0,16.0,14.0
Brown Creeper,5.1143999099731445,5.482012748718262,23.0,8.0,7.0
Brown Noddy,16.211313247680664,1.8760435581207275,8.0,17.0,19.0
Brown Pelican,18.24954605102539,5.934138774871826,6.0,18.0,11.0
Brown Skua,10.045472145080566,12.090615272521973,1.0,14.0,32.0
Brown Teal,5.079500198364258,4.634599685668945,23.0,7.0,25.0
Brown Thrasher,9.60863208770752,3.2239089012145996,12.0,13.0,6.0
Brown-crested Flycatcher,18.96211814880371,9.552650451660156,0.0,18.0,35.0
Brown-headed Cowbird,4.962608337402344,2.9178383350372314,22.0,5.0,2.0
Brown-headed Nuthatch,3.4454293251037598,7.036101341247559,-1.0,4.0,30.0
Brown-winged Schiffornis,5.340380668640137,3.3885769844055176,22.0,7.0,6.0
Buff-breasted Flycatcher,18.96631622314453,9.585129737854004,0.0,18.0,36.0
Buff-throated Woodcreeper,5.953958034515381,8.124799728393555,-1.0,8.0,29.0
Bufflehead,7.772888660430908,1.3501927852630615,11.0,10.0,1.0
Bullock's Oriole,4.874626159667969,7.379860877990723,15.0,6.0,21.0
Bulwer's Petrel,15.9031343460083,1.7143951654434204,8.0,16.0,2.0
Burrowing Owl,8.97192668914795,12.555130004882812,1.0,12.0,18.0
Bushtit,7.069073677062988,7.907145977020264,20.0,11.0,25.0
Cactus Wren,6.963751792907715,5.412980556488037,22.0,9.0,22.0
California Gnatcatcher,4.462306976318359,7.635389804840088,15.0,6.0,22.0
California Gull,15.633569717407227,2.6025760173797607,8.0,16.0,15.0
California Quail,4.152926445007324,2.99524188041687,18.0,5.0,3.0
California Scrub-Jay,5.239842414855957,7.354604721069336,-1.0,8.0,24.0
California Thrasher,5.198787689208984,3.207906484603882,22.0,7.0,7.0
California Towhee,5.729775428771973,4.041636943817139,22.0,7.0,26.0
Canada Goose,-25.171703338623047,-10.244915008544922,3.0,0.0,8.0
Canada Jay,19.062625885009766,9.585318565368652,0.0,19.0,16.0
Canada Warbler,4.596133232116699,4.154746055603027,-1.0,5.0,25.0
Canvasback,7.735187530517578,1.3635475635528564,11.0,10.0,2.0
Canyon Towhee,4.476687908172607,1.9620519876480103,16.0,4.0,2.0
Canyon Wren,4.365114688873291,7.702232837677002,15.0,6.0,23.0
Cape Barren Goose,-25.9144287109375,-10.124327659606934,4.0,0.0,9.0
Cape Gannet,15.465465545654297,3.2163074016571045,8.0,16.0,29.0
Cape May Warbler,4.088090896606445,5.5065107345581055,25.0,5.0,33.0
Cape Petrel,13.08969783782959,2.220459222793579,7.0,15.0,6.0
Cape Shoveler,10.906883239746094,1.7031569480895996,13.0,14.0,0.0
Cape Teal,7.506427764892578,5.305055618286133,-1.0,11.0,2.0
Carib Grackle,7.555214881896973,7.662092685699463,20.0,11.0,26.0
Caribbean Elaenia,3.1715564727783203,3.216874837875366,18.0,3.0,0.0
Caribbean Martin,18.97943687438965,9.653878211975098,0.0,19.0,0.0
Carolina Chickadee,5.046501159667969,7.965374946594238,15.0,8.0,25.0
Carolina Parakeet,1.65147066116333,5.387511253356934,9.0,1.0,20.0
Carolina Wren,7.073787212371826,7.970360279083252,20.0,11.0,27.0
Cassin's Auklet,10.865614891052246,1.7618181705474854,13.0,14.0,1.0
Cassin's Kingbird,6.576897621154785,5.244934558868408,22.0,9.0,23.0
Cassin's Vireo,4.877871036529541,7.826774597167969,15.0,6.0,24.0
Cattle Egret,5.212601661682129,4.8646769523620605,23.0,7.0,27.0
Cave Swallow,19.05418586730957,9.6349515914917,0.0,19.0,17.0
Cedar Waxwing,2.160980224609375,5.344936847686768,9.0,1.0,26.0
Cerulean Warbler,19.083070755004883,9.56716251373291,0.0,19.0,18.0
Chaco Chachalaca,7.879047393798828,6.561591625213623,-1.0,11.0,13.0
Checker-throated Stipplethroat,3.0489399433135986,7.253906726837158,19.0,4.0,31.0
Chestnut Teal,3.4444901943206787,0.34393632411956787,17.0,2.0,5.0
Chestnut-backed Antbird,4.7848711013793945,7.899781703948975,15.0,6.0,25.0
Chestnut-backed Chickadee,5.812838077545166,5.660355567932129,23.0,8.0,8.0
Chestnut-collared Longspur,5.640861511230469,5.53363561630249,23.0,8.0,9.0
Chestnut-sided Warbler,7.691416263580322,6.95006799697876,20.0,11.0,14.0
Chihuahuan Raven,3.846322536468506,6.365168571472168,24.0,4.0,12.0
Chinstrap Penguin,10.626646995544434,2.648533821105957,13.0,14.0,6.0
Chipping Sparrow,4.259082794189453,6.896120071411133,-1.0,6.0,8.0
Christmas Shearwater,16.24399185180664,1.861635684967041,8.0,17.0,20.0
Chuck-will's-widow,18.90996551513672,9.882314682006836,0.0,19.0,1.0
Chukar,3.980841875076294,6.252896308898926,24.0,4.0,13.0
Cinnamon Teal,5.661288261413574,2.4815077781677246,14.0,6.0,0.0
Clapper Rail,10.677348136901855,2.6310999393463135,13.0,14.0,7.0
Clark's Grebe,18.95612907409668,9.655317306518555,0.0,19.0,2.0
Clark's Nutcracker,1.6459150314331055,5.387807369232178,9.0,1.0,21.0
Cliff Swallow,19.06908416748047,9.55952262878418,0.0,19.0,19.0
Comb Duck,-25.9191951751709,-10.04148006439209,4.0,0.0,10.0
Common Black Hawk,11.395269393920898,3.224541425704956,10.0,15.0,26.0
Common Chaffinch,4.250751972198486,2.84902024269104,18.0,5.0,4.0
Common Diving-Petrel,10.792586326599121,1.9884904623031616,13.0,14.0,2.0
Common Eider,7.819649696350098,1.544389009475708,11.0,10.0,3.0
Common Gallinule,6.5641889572143555,2.959939479827881,14.0,8.0,1.0
Common Goldeneye,8.788305282592773,1.8901461362838745,-1.0,12.0,0.0
Common Grackle,5.51404333114624,4.867879867553711,-1.0,7.0,28.0
Common Ground Dove,6.955711841583252,2.7659621238708496,14.0,8.0,2.0
Common Loon,18.352336883544922,6.001576900482178,6.0,18.0,17.0
Common Merganser,17.55769157409668,5.545221328735352,5.0,17.0,34.0
Common Murre,13.9488525390625,2.862483263015747,7.0,15.0,7.0
Common Nighthawk,19.119693756103516,9.654356002807617,0.0,19.0,20.0
Common Pauraque,19.07925033569336,9.547329902648926,0.0,19.0,21.0
Common Pochard,3.3897714614868164,0.2916189730167389,17.0,2.0,6.0
Common Poorwill,19.076261520385742,9.657544136047363,0.0,19.0,22.0
Common Raven,2.1634702682495117,5.3559980392456055,9.0,1.0,27.0
Common Redpoll,3.9181838035583496,7.279222011566162,-1.0,4.0,32.0
Common Scoter,7.820766925811768,1.3270304203033447,11.0,10.0,4.0
Common Shelduck,7.500305652618408,2.506340742111206,14.0,10.0,14.0
Common Tern,17.988073348999023,5.993081092834473,6.0,17.0,35.0
Common Yellowthroat,3.987751007080078,5.260531425476074,25.0,3.0,24.0
Connecticut Warbler,2.9895083904266357,7.349839687347412,19.0,1.0,33.0
Cook's Petrel,17.43691062927246,-0.5586322546005249,2.0,17.0,3.0
Cooper's Hawk,9.587474822998047,12.50931167602539,1.0,13.0,19.0
Cordilleran Flycatcher,7.379146099090576,7.750344276428223,20.0,11.0,28.0
Cory's Shearwater,17.551040649414062,-0.6734334230422974,2.0,17.0,4.0
Cotton Pygmy-Goose,-24.941530227661133,-10.083821296691895,3.0,1.0,8.0
Crested Auklet,13.971490859985352,2.9530837535858154,7.0,15.0,8.0
Crested Duck,10.151775360107422,3.3959317207336426,12.0,14.0,22.0
Crowned Woodnymph,3.39911150932312,6.757427215576172,-1.0,4.0,14.0
Curve-billed Thrasher,9.89333438873291,3.6136839389801025,12.0,13.0,7.0
Dark-eyed Junco,5.197770118713379,5.507774829864502,23.0,8.0,10.0
Dickcissel,3.981076955795288,1.7688647508621216,16.0,2.0,18.0
Double-crested Cormorant,17.210285186767578,5.486359596252441,5.0,17.0,36.0
Downy Woodpecker,5.309768199920654,5.468955039978027,23.0,8.0,11.0
Dusky Flycatcher,7.707849025726318,7.520748138427734,20.0,11.0,29.0
Dusky Grouse,2.245518445968628,5.310192108154297,9.0,1.0,28.0
Dusky-capped Flycatcher,5.676887512207031,8.157872200012207,-1.0,8.0,30.0
Eared Grebe,9.798110008239746,2.6985180377960205,-1.0,13.0,4.0
Eastern Bluebird,4.940311908721924,4.9154953956604,-1.0,5.0,26.0
Eastern Kingbird,3.7650935649871826,4.879019737243652,-1.0,3.0,20.0
Eastern Meadowlark,6.0774760246276855,4.565130710601807,22.0,9.0,10.0
Eastern Phoebe,4.853038787841797,4.068792343139648,-1.0,5.0,27.0
Eastern Screech-Owl,8.655454635620117,13.443244934082031,1.0,12.0,25.0
Eastern Towhee,5.345595359802246,3.373507261276245,22.0,7.0,8.0
Eastern Whip-poor-will,19.083831787109375,9.571990013122559,0.0,19.0,23.0
Eastern Wood-Pewee,7.431934833526611,7.42893648147583,20.0,11.0,30.0
Egyptian Goose,-19.4006404876709,-9.918984413146973,-1.0,1.0,17.0
Elegant Trogon,7.483897686004639,5.922445774078369,21.0,11.0,3.0
Elf Owl,8.613504409790039,13.537508964538574,1.0,12.0,26.0
Emperor Goose,-19.393163681030273,-9.881065368652344,-1.0,1.0,18.0
Emperor Penguin,15.10981273651123,2.904533863067627,8.0,16.0,16.0
Eskimo Curlew,7.725958347320557,7.525040626525879,20.0,11.0,31.0
Eurasian Linnet,-24.97589874267578,-10.076509475708008,3.0,1.0,9.0
Eurasian Wigeon,3.6802351474761963,0.7659629583358765,17.0,2.0,7.0
